Region,2013,2014,2015,2016,2017
Puglia,5908,5430,7313,8792,9070
Veneto,9148,8281,9733,10145,8473
Emilia Romagna,7396,6958,6752,7039,5457
Sicilia,7282,4539,5476,5323,4725
Abruzzo,2728,2273,2936,2937,3110
Piemonte,2580,2402,2467,2549,2043
Toscana,2657,2778,2825,2738,1901
Friuli-Venezia Giulia,1073,1367,1872,1856,1639
Campania,1644,1183,1614,1286,1293
Lombardia,1301,1424,1410,1421,1183
Lazio,1571,1302,1676,1523,1135
Trentino-Alto Adige,1362,1029,1230,1140,1018
Marche,1039,915,959,959,860
Umbria,706,670,765,814,609
Sardegna,638,746,794,804,466
Molise,319,297,232,232,339
Calabria,370,314,404,391,337
Basilicata,178,102,87,93,85
Liguria,46,63,79,63,76
Valle dâ€™Aosta,20,15,14,15,10
